Name,Score,Keyword,Time,Purchase,Text,votes,Helpful_Votes,Experience,product_name
vishal,5,Price is good according to product,20-Oct-18,Verified Purchase,5 star for Price and product,Helpful,8,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
k MURALI MOHAN,5,Watch,6-Jul-19,Verified Purchase,Very beautiful, recommended for teenage girls,1,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Amazon Customer,3,Not working,1-Jul-19,Verified Purchase,Product arrived in not working condition. Extra battary button cell provided also not working .looks good ,but not working,0,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Jenipher Ncube,5,Five Stars,31-Aug-18,Verified Purchase,Very beautiful watch,Helpful,18,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Parvathamma latha,5,This product is Samal size ok,3-Aug-19,Verified Purchase,Very big,Helpful,3,0,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Karishma,5,Five Stars,16-Jul-18,Verified Purchase,Good as expected,One person found this helpful,2,4,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Mohammad Haris,5,Best Colour,7-Aug-19,Verified Purchase,Very good,Helpful,214,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
prabhesh,4,Good,30-Apr-19,Verified Purchase,Good,Helpful,24,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Noorul Ameen,5,Nice product,30-Oct-18,Verified Purchase,Nice product,Helpful,176,7,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
karthiga,2,Girls Watch,12-May-19,Verified Purchase,Looks like doll watch... Wont gives decent look,Helpful,196,5,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
sanjeev,5,Stylish and beautiful,18-Oct-19,Verified Purchase,Great product writing review after 4 month use juat go for it awesome product and look,Helpful,273,3,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Minhasdaman,1,Not soo bad,21-Aug-19,Verified Purchase,It's too short I thought it should be big i m not statified with size but colour and all things were very nice,Helpful,109,7,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Hanishmitra,5,Watch,30-Jan-19,Verified Purchase,Like this,Helpful,254,6,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Areena,4,Very nice,5-Oct-19,Verified Purchase,0:200:00This video is not intended for all audiences. What date were you born?JanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberOctoberNovemberDecember12345678910111213141516171819202122232425262728293031201920182017201620152014201320122011201020092008200720062005200420032002200120001999199819971996199519941993199219911990198919881987198619851984198319821981198019791978197719761975197419731972197119701969196819671966196519641963196219611960195919581957195619551954195319521951195019491948194719461945194419431942194119401939193819371936193519341933193219311930192919281927192619251924192319221921192019191918191719161915191419131912191119101909190819071906190519041903190219011900SubmitAdobe Flash Player is required to watch this video.Install Flash Player This item is useful and warthfull,,158,4,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Shyamkar,5,Watch,19-Nov-18,Verified Purchase,Elegant,Helpful,190,7,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Bhunesh Nayak,3,Great,10-Nov-18,Verified Purchase,Good product,Helpful,62,5,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
sudhakar,1,Ok,8-Oct-18,Verified Purchase,Ok,Helpful,265,1,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Anu,5,Very nice,8-Jul-19,Verified Purchase,Exactly as shown in display picture.,Helpful,63,5,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Martha,3,Ok,4-Aug-19,Verified Purchase,Shown too small but send too big size,Helpful,41,7,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Amazon Customer,5,Good,22-Nov-18,Verified Purchase,Good,Helpful,67,2,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Vijay Kumar,1,Poor quality,12-Sep-19,Verified Purchase,Not good quality,Helpful,293,4,Geneva Platinum Silicone Strap Analogue Watch for Women & Girls - GP-379
Archana,4,Four Stars,5-Sep-17,Verified Purchase,Good watch i present it to my mother and she like it.,,177,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,2,I purchased the watch but one of the stone on ...,18-Oct-16,Verified Purchase,I purchased the watch but one of the stone on the dial was missing and some were not placed properly. It looks odd when you wear it with such defects. Otherwise the functionality of the watch was okay.,13 people found this helpful,85,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
bhavna sahai,2,Today I got the watch but I'm very disappointed because the case is missing which is shown in ...,14-Oct-17,Verified Purchase,Today I got the watch but I'm very disappointed because the case is missing which is shown in the picture.Instead I got a plastic case that too a very small one that it hardly fits the watch. If you are showing the case you have to deliver it to.Such a disappointment.,10 people found this helpful,150,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Mahboob khan,2,Do not buy a product if the information are incorrect,8-Mar-19,Verified Purchase,Watch is good but the packing box image which u are showing in add in Amazan app that is totally different so please share accurate information about the product before selling it's like fooling customer,,134,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Reshma Vyawahare,5,Great product,30-Mar-18,Verified Purchase,Some diamonds are missing but the packaging is great and watch is beautiful,,30,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Ronnie,4,Pretty watch,14-Apr-19,Verified Purchase,It's very nice I totally love it. I bought it for my sister but i won't give her. I gave one star less because a problem in the that cannot open it so it's not ready to wear I have to repair it,Helpful,40,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Swati Dubey,1,... wrote female watch but watches belt is so wide like gents watch,28-Mar-18,Verified Purchase,About item watches company wrote female watch but watches belt is so wide like gents watch,One person found this helpful,104,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Nima Bhutia,5,its a must buy watch .,22-Mar-19,Verified Purchase,its can be added to your precious items .. its awesome ...,Helpful,116,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Dr.Rakhi singh,4,Beautiful watch,20-Aug-18,Verified Purchase,It is very beatiful i m satisfied and happy those who love large dial must purchase it..,Helpful,195,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Syed asadulla,3,Nice,11-Jun-19,Verified Purchase,Nixe,Helpful,137,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
MD M.,4,Lock of watch is not working,24-Oct-19,Verified Purchase,Its very attractive one and the quality is also nice but the lock of watch is not working overall I gave 4 stars for this product,Helpful,174,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
VINOD YADAV,4,good,6-Mar-19,Verified Purchase,nice one,One person found this helpful,141,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
A Manickam,5,Value for money,25-Sep-19,Verified Purchase,Good product,Helpful,31,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
surinder kumar sood,1,Very poor quality,14-Sep-19,Verified Purchase,The worst quality stops working within 20 days and polish faded n,Helpful,106,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Mrs Pawar,4,Good no issues so far,1-Dec-18,Verified Purchase,Durable. Working well,Helpful,78,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Enoch fresnell,1,Very very bad,29-Oct-18,Verified Purchase,Cheap quality,Helpful,160,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,2,Not good not bad,29-Jul-19,Verified Purchase,So so,Helpful,125,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Rabbani Shaik,3,ok,13-Nov-18,Verified Purchase,ok,Helpful,74,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,Not working,16-Jul-19,Verified Purchase,The watch is not working.. changed battery..still there seems to be an issue with it..,Helpful,92,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Suraj Mishra,5,Jhakkassss,17-Apr-18,Verified Purchase,Wow... Very very nice😍😍😍😍😍,Helpful,135,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
arti thakur,1,so sad abt,25-Apr-18,Verified Purchase,Dey r not working ......so sad abt dat,Helpful,44,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,No value for money,14-Aug-19,Verified Purchase,It keeps getting repaired every month. No value for product or money,Helpful,31,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Dr Archana,2,Two Stars,27-Sep-17,Verified Purchase,This is beautiful but size is large for me,Helpful,73,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Verified Customer,4,Price should be less,18-Feb-18,Verified Purchase,Price should be less,Helpful,57,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Harini,5,Five Stars,11-Mar-17,Verified Purchase,It is good but very big in sizeNot for girlsBut it's lovely,2 people found this helpful,14,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,4,Liked it,10-Jan-19,Verified Purchase,Beautiful but Cells of Watch Not good quality...,Helpful,117,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,3,good product.... little finishing difference...,25-Apr-16,Verified Purchase,good product.... little finishing difference...,One person found this helpful,102,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Manpreet,1,Way too big for girl's hand,3-Nov-19,Verified Purchase,Honestly it seemed like guy's watch,Helpful,109,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Sudipta Saha,5,very good,15-Jan-19,Verified Purchase,in one word it is a very good ladies watch,Helpful,184,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Rakinder singh,5,Very nice 👌,24-Jun-19,Verified Purchase,Very nice,Helpful,147,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Alina,5,Grt,25-Jul-19,Verified Purchase,Gud product,Helpful,85,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
KAMAL SINGH RAWAL,1,https: //www. amazon.,22-Sep-17,Verified Purchase,https://www.amazon.in/dp/B00VA4G342/ref=cm_cr_ryp_prd_ttl_sol_12,Helpful,88,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,Worst,26-Jun-17,Verified Purchase,This is worst product.Lot of big size this product women not use this watch .weast of my money....,One person found this helpful,94,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,5,Five Stars,22-Feb-17,Verified Purchase,very good watch I love it,Helpful,183,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,4,Average product,29-May-17,Verified Purchase,Good product. Only thing is that the colour is slightly dull compared to the picture.,Helpful,93,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
neville,5,Five Stars,6-Oct-16,Verified Purchase,Good quality and as described,Helpful,25,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Kumari sudha,5,Very beautiful,2-Jun-19,Verified Purchase,Beautiful,Helpful,21,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,One Star,24-Oct-16,Verified Purchase,The colour of watch is very dull not as shown in the display .......and I am very upset,3 people found this helpful,96,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Sinia Bawa,1,Don't buy,11-Oct-18,Verified Purchase,Horrible piece.its so bulky nd ugly,Helpful,61,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Saurav prashar,5,Five Stars,1-Sep-18,Verified Purchase,This watch is man not woman,Helpful,109,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
juhi,4,Watch,10-Oct-19,Verified Purchase,Overall occasionally wear...good product,Helpful,141,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
yash ali,5,I like this,23-Jun-19,Verified Purchase,Value for money,Helpful,71,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,worst i wasted my money,12-Dec-18,Verified Purchase,Its chain is too big like gents watch I throwed it.,Helpful,17,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Anis Sayyed,4,Goood,9-Oct-18,Verified Purchase,I like it,Helpful,95,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Sharad Dwivedi,5,Five Stars,22-Dec-17,Verified Purchase,Awesome.... smart...beautiful,Helpful,193,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Affu,5,Adjustable,5-Oct-19,Verified Purchase,Paisa vasul product,Helpful,59,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Srinidhi Thilak,5,Doesn't look cheap,22-Jul-19,Verified Purchase,Worth for money,Helpful,172,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,3,Nice,11-Dec-16,Verified Purchase,Nice Product,Helpful,69,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Mohammed Khadeeruddin,5,Good watch,25-Oct-18,Verified Purchase,Love it,Helpful,56,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Sukhvir kaur,5,Quality is great 👍,9-Oct-19,Verified Purchase,Very good quality .. I loved it,Helpful,71,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
raghuram yadav nunna,1,Worst,11-Sep-18,Verified Purchase,Very very bad.It is not useful for ladies at all,Helpful,79,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,4,Four Stars,29-Mar-17,Verified Purchase,Good but not as per expectations,One person found this helpful,109,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Mohammad Iqwal,4,7530963342,14-Jul-19,Verified Purchase,This is nice watch,Helpful,125,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Manmeet,5,Five Stars,23-May-18,Verified Purchase,Very nice good,Helpful,81,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
lainacn,1,IT LOOKS LIKE GENTS WATCH,19-Feb-18,Verified Purchase,IT IS OVERSIZED. IT LOOKS LIKE GENTS WATCH.SO I RETURNED IT.,Helpful,123,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
premmalar,5,Five Stars,4-Jan-17,Verified Purchase,Great watch looks costly😉,One person found this helpful,62,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
neerthakur,1,Worst watch,10-Dec-18,Verified Purchase,Hate it......not even works,Helpful,150,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,4,Value for money,2-Nov-19,Verified Purchase,It is a good product,Helpful,89,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Keerthi,3,Color is little yellowish other than golden other wise great product at cheap price,22-Mar-18,Verified Purchase,Color is little yellowish other than golden other wise great product at cheap price,Helpful,130,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Sahasra,3,... suites for women not for girls But it a good product,22-May-18,Verified Purchase,It suites for women not for girlsBut it a good product,Helpful,22,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
M.zeba,4,Nice,14-Aug-19,Verified Purchase,Superb watch,Helpful,92,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amina Shaik,4,Super,10-Jul-19,Verified Purchase,Nice,Helpful,196,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Tazzi,1,Build quality,23-Mar-19,Verified Purchase,Build quality of product is wrost,Helpful,111,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
BIJAYA K.,1,One Star,1-Aug-16,Verified Purchase,Very bad watch is not functioning,One person found this helpful,31,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
sameera s.,5,awesome watch loved it,6-Jul-16,Verified Purchase,Awesome watch❤ loved the design.. Vry beautiful and comfortable😄,Helpful,135,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
syeda,5,Five Stars,3-Jan-18,Verified Purchase,Superb just loved it..,Helpful,34,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,One Star,13-Feb-18,Verified Purchase,very bad,Helpful,166,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Ripul Love,5,Large size.. my perfect size.,9-Oct-18,Verified Purchase,nice Watch..,Helpful,97,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Lokendra Gupta,5,Five Stars,7-Jan-17,Verified Purchase,Awesome product according to range.,Helpful,32,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Smriti,5,This watch very beautiful,12-Nov-18,Verified Purchase,Beautiful,Helpful,111,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Kamlesh Rachchh,2,Case is not received.,2-Feb-18,Verified Purchase,Watch case is not as per photo show. What to do for receive case as per add ???,Helpful,40,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Cherry,5,Nice,10-Oct-19,Verified Purchase,Very rich look,Helpful,147,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Swarnalata panda,5,Five Stars,29-Jan-18,Verified Purchase,Nice watch and amazing.........,Helpful,127,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
ruksana,5,NYC product,13-Jul-19,Verified Purchase,Nthg,Helpful,89,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Chitirala N.,4,Four Stars,2-Mar-17,Verified Purchase,Good,Helpful,62,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
barkha,1,Not satisfied,24-Jun-19,Verified Purchase,Bad quality,Helpful,86,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,4,Four Stars,4-Mar-17,Verified Purchase,Very nice. It is worth more than its cost,Helpful,14,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Md Ubaid Ali,4,Four Stars,29-Oct-16,Verified Purchase,NIce,Helpful,32,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Dodo,5,it looks exaclty the same like in picture,23-Jun-16,Verified Purchase,Superb watch..it looks exaclty the same like in picture..Thank you so much. Loved the watch,One person found this helpful,134,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
FAZIL NAWAZ,5,Nice Product,6-Oct-19,Verified Purchase,Good Quality,Helpful,48,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
manjit saini,5,I am totally satisfied,25-May-19,Verified Purchase,It's awesome,Helpful,24,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,3,Three Stars,15-Jul-18,Verified Purchase,I buy this watch but color is remove,Helpful,85,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Pintu jadhav,3,Not good product,9-Jun-19,Verified Purchase,Not happy with it,Helpful,191,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
C. Ravi Kumar,5,It’s good,17-Mar-19,Verified Purchase,It’s good,Helpful,9,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
John M George,5,Five Stars,24-Dec-17,Verified Purchase,I gifted this to my mother .....thank you Amazon.in,Helpful,54,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Rachana Srikanth,1,Product looks totally different,12-Apr-19,Verified Purchase,Not worth it,Helpful,197,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
sarita devi,1,One Star,13-Mar-18,Verified Purchase,Its chain quality is very poor,Helpful,101,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,Better to be avoided,23-Apr-17,Verified Purchase,The watch looks awful and of cheap quality! Better to be avoided . Not even worth a star!,Helpful,167,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,Very big,6-May-17,Verified Purchase,It is very big .I can't wear it. It is too lose and can fall from my hands .otherwise it is good,Helpful,159,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Nazia kowser,3,Three Stars,13-Oct-18,Verified Purchase,it is ok not bad,Helpful,61,4,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
purushottama yadav,1,One Star,29-Mar-18,Verified Purchase,Very bad,Helpful,85,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Ibrahim khna,5,Good product,12-May-19,Verified Purchase,Same as a pic,Helpful,121,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,1,One Star,24-Nov-17,Verified Purchase,Over size,Helpful,15,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Miranda Ghosh,5,Five Stars,15-May-18,Verified Purchase,Very good,Helpful,82,3,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,3,Three Stars,23-Jul-17,Verified Purchase,Got Watch after a week but still without box;(,Helpful,167,1,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Sumeet Bakshi,5,Excellent service,9-Sep-16,Verified Purchase,Thankyou for an excellent product . It was the same as shown.,Helpful,36,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
Amazon Customer,2,Two Stars,24-Feb-18,Verified Purchase,Not Good ....,Helpful,50,2,Geneva Platinum Analogue Gold Dial Women's Watch -GNV01
