Name,Score,Keyword,Time,Purchase,Text,votes,Helpful_Votes,product_name,Experience
Kolli ganesh,5,but has enough bells and whistles to keep pros happy. Nice video option too,2015-07-13,Y,"Not quite the quality of a DSLR, but has enough bells and whistles to keep pros happy. Nice video option too!",0,0,Canon SX50,2
Anisha k.,5,King of Super-Zoom Cameras,2015-07-12,N,"Pros:<br />&#62; The zoom is unbelievable! The 50X zoom works very well when placed on a tri-pod and using a remote shutter.<br />  I have taken pictures of the moon at 200X zoom.<br />  I love the image processor.  Digic 5 is a beast.<br />  I am attaching a few pictures so you can see how well this camera works.<br />&#62;  Great pics: This camera excels at optical zoom, but even besides that, this camera can take excellent pictures at wide angles.<br />&#62;  Portability:  If you are considering buying a DSLR camera vs a bridge camera like this, I would definitely give this one a shot.<br />  This is compact in the sense, that you don't have to change lenses.<br />  You can just take it and go anywhere without carrying anything extra, like you would with most DSLR cameras.<br />  This is bigger and heavier than the regular point and shoot camera without so much optical zoom.<br /><br />Cons:<br />&#62; It struggles the right exposure when shooting around sunset. You gotta fiddle with the manual settings a lot.<br />&#62;  Steep learning curve to learn the manual setting modes.<br />&#62;  Not everything (exposure, aperture, shutter speed, ISO) has a dedicated button, even though they are displayed very clearly on the LCD viewfinder.<br />&#62;  A lot of wind noise while you are taking video. There should have been a muffler or a pass through built on the mic for the wind.<br />&#62;  You can hear the zoom while taking video.",5,5,Canon SX50,1
vishal,5,I love this camera,2015-07-11,Y,"I love this camera, the pictures are so clear and the telescopic lens is the greatest thing ever. I am not a professional photographer and actually just know how to aim and shoot. and I have gotten pictures that are proffesional looking to me.",0,0,Canon SX50,2
k MURALI MOHAN,5,Great camera. It was a very good update after ...,2015-07-10,Y,Great camera. It was a very good update after my old and dying Powershor s5is.<br />Extremely powerful zoom (I can easily make a clear and detailed photo of a bird somewhere high on a tree) and excellent quality of photos. For now I'm satisfied for 100%.,0,0,Canon SX50,2
Amazon Customer,2,The depth of field has been disappointing and fine tuning it is not intuitive or easily accomplished,2015-07-10,Y,"So far in my learning mode with this camera, I have to say that it is not a sure shot. The depth of field has been disappointing and fine tuning it is not intuitive or easily accomplished. The camera also does not handle bright light well and adjustments are required to compensate. The focus functions have been disappointing, not easily selectable and slow to focus causing a loss or miss of otherwise good shots. With more practice, these impediments may be overcome but if one is looking for a Sure Shot, this is not it.",1,0,Canon SX50,0
Jenipher Ncube,5,Adjustable electronic viewfinder,2015-07-08,Y,"Camera just arrived a few days ago.  I was frustrated by the electronic viewfinder, until I reviewed the part names in the &#34;Getting started&#34; booklet which showed the Diopter Adjustment Dial next to the viewfinder.  I was able to adjust it easily to suit my 'mature' eyes with trifocals.  Now I am very happy with electronic viewfinder.  Now on to taking stunning photos!",0,0,Canon SX50,1
Parvathamma latha,5,Very happy customer!,2015-07-08,Y,"Smile and say cheese! I have only had this for a few weeks and so far I love it. The pictures and videos have excellent quality. I would definitely recommend this camera, great price too!",0,0,Canon SX50,0
Karishma,5,perfect camera,2015-07-07,Y,perfect camera!!!! i love it takes high quality  phones and videos. really this camera does more than i need and then some great price also,2,2,Canon SX50,4
Mohammad Haris,5,Love this camera,2015-07-06,Y,"Love this camera. I added the CHDK (Canon Hackers Development Kit) package thinking I needed it to get good shots of the moon. Nope. This camera, despite whatever others have said, takes quite lovely moon shots on the auto setting. CHDK is awesome and indispensable, but this camera is a joy and totally usable without any add-ons. It makes even my shoddy photo skills look pretty good.",1,1,Canon SX50,2
prabhesh,5,"Great camera, I had an earlier version and recently ...",2015-07-05,Y,"Great camera, I had an earlier version and recently upgraded. For an amateur who wants to have fun taking pictures I would certainly recommend the SX50. It has a lot of good functions and is easy to use.",0,0,Canon SX50,2
Noorul Ameen,3,Its OK,2015-07-05,Y,Camera arrived in condition advertised.<br />It takes OK photos and mediocre video.,0,0,Canon SX50,7
karthiga,5,Five Stars,2015-07-03,Y,Great camera..easy to use. Don't forget to buy the slip in card for storing pics!!,1,0,Canon SX50,5
sanjeev,5,Great Camera,2015-07-02,Y,"Great camera! The long zoom is good and stabilization is pretty good too. For the money, you can't go wrong. I have taken some fantastic long range shots with this camera. If you are on a budget or have space requirements on a trip, this is a great all in one kind of camera.",1,1,Canon SX50,3
Minhasdaman,5,Five Stars,2015-06-29,Y,Best in class,2,1,Canon SX50,7
Hanishmitra,5,Five Stars,2015-06-26,Y,Nice buy.,3,1,Canon SX50,6
Areena,4,Nice camera and great seller,2015-06-23,Y,"I like my camera, and I really liked the seller, who was straightforward, honest, and more helpful and considerate than one experiences much these days!",3,1,Canon SX50,4
Shyamkar,5,Five Stars,2015-06-22,Y,Nice and complicated but works really grest,3,1,Canon SX50,7
Bhunesh Nayak,5,"The unofficial camera of Alaska, and worth every penney",2015-06-18,Y,"If you're looking for a technical review, move along.  I am a &#34;tourist&#34; photographer, that just wants to be able to capture decent memories, specifically on my trip to Alaska.  After reading many, many Alaska trip reports from other people and seeing a lot of photos taken with this camera, I decided I needed it for our trip.  I am *so* glad I spent the money on this.  I'm one of those people who leave it in &#34;Auto&#34; mode and hope for the best, and I have some wonderful pics and videos (that I'm still sorting through).  But the real selling point of this camera is the optical zoom, which is so important for wildlife viewing in Alaska.  50x, without changing lenses is just amazing.  There were 3 separate occasions where a stranger next to me told me, &#34;There's no use in trying to take a picture of that, sweetheart - it's too far away&#34;.  I just smiled, took the photo, and showed them the result - they were shocked.  I had 2 other people looking over my shoulder in Denali and tap me on the shoulder to ask what kind of camera I had.  There were times when I used this camera instead of binoculars.<br /><br />I have 3 tips for extreme novices (like me):<br />- If you find you're primarily using the display panel and not the view finder, you can rotate the panel and fold it back against itself so that you don't have to flip it open every time you want to take a picture.  (Imagine how dumb I felt when a fellow cruiser pointed this out...)  Also, while it's on the digital display you won't be able to use the view finder, but if you press the &#34;Disp&#34; button, you can cycle through and activate it again.<br />- It is difficult to steady the camera when you're zoomed in all the way.  To help, pull on the lens cap string to provide tension and steady the camera (another tip from that same cruiser, which I used every single day afterward)<br />- Disclaimer: this is probably entirely obvious to everyone besides me, but just in case there's anyone else struggling with the flash... there is no button to make the flash pop up.  You literally use your finger and manually flick it up.<br /><br />Bottom line: if you're a point-and-shoot tourist photographer heading to Alaska, you will not regret buying this camera. All others can read the more detailed reviews. :-)there is no button to make the flash pop up.  You literally use your finger and manually flick it up.  Bottom line: if you're a point-and-shoot tourist photographer heading to Alaska, you will not regret buying this camera. All others can read the more detailed reviews. :-)",5,4,Canon SX50,5
sudhakar,5,It had to be able to zoom into to the bird and still get a fairly good picture. This camera does this,2015-06-15,Y,I needed a camera that was light weight so I could document bird sighting in the field. It had to be able to zoom into to the bird and still get a fairly good picture. This camera does this. It slips easy into my big vest pocket. It is fairly rugged to take my active lifestyle. Plus it was the affordable. I am very pleased with it.<br />I do wish it had a docking station to charge it up when I am not using it but that is a little thing.,3,3,Canon SX50,1
Anu,5,Five Stars,2015-06-14,Y,Seems great so far. Haven't tried the video yet.,2,1,Canon SX50,5
Martha,4,Impressive Image Stabilization for the Long Zoom,2015-06-13,Y,"Love this camera with it's loooooong zoom.  The image stabilization is impressive!  The viewfinder isn't that great, but if the sun prevents being able to see the LCD, then the viewfinder is a must.",1,1,Canon SX50,7
Amazon Customer,5,very pleased very fast deliever,2015-06-13,Y,Everything was as it was told would be..........very pleased<br />very fast deliever,1,1,Canon SX50,2
Vijay Kumar,5,Great camera!,2015-06-12,Y,"I love this camera! I have had it for two months and have been very pleased with the results. It takes very clear, sharp photos. The battery life is very long, and the zoom is great. Great camera for an affordable price!",0,0,Canon SX50,4
Archana,5,on standard zoom the IS works great. I often times keep my PowerShot SX50 on ...,2015-06-11,Y,"I take this little gem on every hike I go on. Why?  I have a 400mm Canon L, and anyone who has carried that baby around knows how heavy it is.  At my age, light is right!  I've taken some what for me are remarkable pictures.  Yes, on 2X you must have a tripod; but, on standard zoom the IS works great.  I often times keep my PowerShot SX50 on a tripod near my hummingbird feeders.  Just got back from Rosebud Creek in Montana.  I've included some of my birding shots.  My recommendation is BUY BABY BUY before Canon gets smarter than they already are and jacks the price up!",7,7,Canon SX50,1
Amazon Customer,5,Moving on up!,2015-06-11,Y,"I'm moving up from one of those little pocket cameras. This takes lovely images on auto and as I learn more about photograph it can be set to manual. The option buttons are set quite close together, so if you have a large hand--which I don't--or arthritic hands--which I do--care must be taken or the camera does al kinds of things unexpectedly. Still, very happy with it.",3,3,Canon SX50,2
bhavna sahai,5,I'm loving this camera... I'm loving the ...,2015-06-11,Y,I'm loving this camera...I'm loving the pictures and videos it takes even more...a professional photographer friend says my pictures have improved...what more could I ask for?,1,1,Canon SX50,3
Mahboob khan,5,Nice upgrade/replacement for previous version I dropped into the ocean.,2015-06-10,Y,I dropped my previous version Canon powershot into the ocean and they have improved them since then.  I love the image stabilizer when using the very long zoom capability.  I can make a video at full zoom and it is amazingly smooth without the normal shakies that my zoomed videos used to have.  The stabilizer also work for zoomed photos to make it easier to get a clear photo at long zoom.,2,2,Canon SX50,3
Reshma Vyawahare,5,Great purchase!,2015-06-10,Y,"Arrived quickly and the sender made sure I had to sign for it. Everything was included and in perfect, like-new quality. Thanks for a great purchase!",1,1,Canon SX50,1
Ronnie,5,point and shoot bliss,2015-06-09,Y,"my very favorite camera so far, and I have owned many!",2,2,Canon SX50,4
Swati Dubey,5,Five Stars,2015-06-08,Y,amazing camera,1,1,Canon SX50,1
Nima Bhutia,5,Love this camera.,2015-06-03,Y,Love this camera! Takes great shots. Took it on a photo safari in Africa and the zoom was fantastic and my pictures were amazing! Two of my friends had the same camera and we all love it.,1,1,Canon SX50,4
Dr.Rakhi singh,3,IMHO Newer isn't Always Better,2015-06-01,Y,"I've been a Canon PowerShot owner for 10 years, beginning with the SX10. I have been impressed with the improvements in the models over the years (for the most part) except now. I had a SX40 for 3 years but it was in need of a tune up which would cost as much as a new camera, so I opted for a new one. Decided to give the SX50 a try even after reading the cons thinking they were issues I could adapt to...or maybe just individual issues. Well, bottom line is I returned it and purchased another SX40. The SX50 had trouble with a consistent and true focus when zooming and as others noted, it took many tries to get it to focus on a further subject if there was a closer object in the field of view.<br /><br />I also didn't like the placement of the on/off button closer to the viewfinder. On the SX40 the on off button is  within easy finger distance when holding the camera with one hand and is easy to maneuver; not so with the SX50. Unless you've got a long pointer finger you've got to hold the camera with both hands and give it a good push (at least the one I had took several pushes).  This is important to me as I could manipulate most all the controls with one hand and several fingers on the SX40. I guess it's just what you get use to.<br /><br />Bottom line, I was very disappointed and dissatisfied with the inconsistent and not sharp zoom focus as compared to the SX40 so I returned it and will purchase a new sx40.",10,9,Canon SX50,3
Syed asadulla,5,On a Great Horn Owl we took at a distance,2015-06-01,Y,"This is a fabulous camera for birding and just taking pics in general.  It is large but the depth and quality of the pics are professional quality.  When taking a picture of a wood duck.  The color come out strikingly true and rich. On a Great Horn Owl we took at a distance.  When we got the download on the computer, it was interesting to see that the Owl had wound on its beak that we didn't see in the field.  It really brings out the detail even in the feathers.",6,5,Canon SX50,4
MD M.,5,Good Camera for travel,2015-05-28,Y,Very nice camera.  I am still learning the features which are many.,1,0,Canon SX50,4
VINOD YADAV,2,Disappointed,2015-05-28,N,"I purchased this camera to replace one I loved from a company no longer in this market. This one has good reviews and friends recommended it. I got an exceptional price because of the new model that had just been released. So far, so good. However after months of using the camera I find changing modes much more difficult and often miss shots because of it. The camera keeps getting lighter, weightwise, but now I feel they are trading quality to get the lighter weight.<br /><br />It's advantage is the zoom, which is why I purchased it, but I find myself wanting to pull out my old camera with less zoom instead of using this one. I don't usually have the old one with, and cuss this camera often.<br /><br />I would not repurchase and will, next time around, hopefully find another I like better.",4,2,Canon SX50,3
A Manickam,5,Five Stars,2015-05-27,Y,Great camera. I even was able to take a photo of Jupiter with its four bigger moons!,1,1,Canon SX50,4
surinder kumar sood,1,I am really disappointed in the quality of photos coming from this camera,2015-05-25,Y,"I am really disappointed in the quality of photos coming from this camera. If you notch up the on-screen photos just once on your computer monitor, so the pics are slightly larger, you can see the pixillation. Photos are not clear. I'm going to try to return this thing and get something better.<br /><br />Edited: Canon refused to give me my money back. This is the last time I'll buy anything from this company.",8,4,Canon SX50,2
Mrs Pawar,5,love it,2015-05-20,Y,great for videos and my granddaughter can use this with ease (she is 12),1,1,Canon SX50,3
Enoch fresnell,5,camera,2015-05-20,Y,Takes great pics long battery life good well rounded cam,1,1,Canon SX50,1
Amazon Customer,5,"great camera, feel like it better than sx60",2015-05-19,Y,"great camera,feel like it better than sx60 model",2,1,Canon SX50,1
Rabbani Shaik,4,Four Stars,2015-05-19,Y,Love it works great for a point shoot.,1,1,Canon SX50,1
Amazon Customer,5,Five Stars,2015-05-18,Y,Takes great pictures. Easy to use.,1,1,Canon SX50,3
Suraj Mishra,4,Great Pictures,2015-05-17,Y,Takes great pictures and I'm not a professional.  Even does great while in motion. Just returned from a vacation and it was amazing.  Will now take a photography class to learn more.,0,0,Canon SX50,1
arti thakur,5,YES!!!!!!!!,2015-05-17,Y,"Have taken some amazing photos already, the 1200 mm zoom lens is outrageous!!! great product at a fantastic price, money well spent",0,0,Canon SX50,2
Amazon Customer,5,One of the best cameras we've purchased -- if not the best,2015-05-17,Y,"One of the best cameras we've purchased -- if not the best.  Easy to use and takes great photos.  It has replaced our larger, much<br />more expensive digital cameras.  Easy to carry and hold.  Highly recommend this camera.",1,1,Canon SX50,2
Dr Archana,4,Very good. Need quite a bit of light.,2015-05-16,N,This is NOT a SLR and won't match a SLR in terms of speed of focus or burst mode. The EVF on this camera is grainy at best and the pictures get noisy as ISO 400. OK. That said it really zooms and takes some great shots. I really like it for bird photography and have got some very nice and detailed pics. I really like this camera. It won't make you forget your SLR but it's a very fun and capable camera if you know its limitations.,7,7,Canon SX50,3
Amazon Verified Customer,5,Five Stars,2015-05-16,Y,Love it! Great pictures!,0,0,Canon SX50,2
Harini,5,This is an awesome camera. Still learning all it's features but am ...,2015-05-12,Y,"This is an awesome camera.  Still learning all it's features but am totally pleased with it (owned it about a year).  I am a point and shoot kind of photographer (totally for myself and family) who want to capture the memories,  which this camera does very well.  Some more expensive camera's might allow more creative input to pictures but that is not what I am about.  It does have all the manual modes if that is your thing.",3,3,Canon SX50,1
Amazon Customer,5,Good Buy,2015-05-12,Y,Everything rhey say about it is true!,0,0,Canon SX50,1
Amazon Customer,4,the tiny ones like warblers. I've had it a week and I'm ...,2015-05-11,N,"I bought this camera specifically to take pictures of wild birds, esp. the tiny ones like warblers.  I've had it a week and I'm already sure I made the right choice.  I'm not an expert, or even intermediate, photographer by any means, and I surely haven't even begun to scratch the surface of what this camera can do, but the long zoom and image stabilization alone have enabled me to take pictures that FAR exceed anything I've ever gotten in past with typical point and shoots. This is exactly what I needed to get shooting quality bird pictures without a ton of study or time screwing around with manual settings while the spring migrants are feeding everywhere in my local park. I find a bird, frame the shot, let the auto-focus settle, and fire away. If/when the bird sits still long enough for that brief cycle, the results have been very impressive. Highly recommended if you need zoom power and want to get going with nature photography very quickly. See attached for one of my better bird pictures taken in my first week with the unit. Thanks to others for the reviews which helped me settle on this camera, very much appreciated.",8,8,Canon SX50,1
Manpreet,5,Hmmmm..,2015-05-09,Y,"Where to start.... The truth is I really do NOT like this camera. My daughter fell in love with my Lumix DMC-FC70 and I was wanting to try this camera out... So... I gave her my lumix.. Now there's a camera I can honestly say I love.  I'm a pretty big guy with big hands and this Canon feels and looks like a childs toy in my hand, I keep hitting all the buttons with the palm of my hand.  The camera is small and weighs about a much as a puff of wind. ( I know some folks like a light weight camera )  I constantly turn on the self timer every (almost every) time I press the shutter. If I look through the viewfinder my hand somehow accidentally turns on the menu .. For me the buttons are in the wrong places.  Wow.. Why did I give it 5 stars??  Well...  It really is a nice camera. I really like that the flash does not pop up all the time.. you have to lift it to use it.. Photos are sharp and clear, it has a nice quiet zoom excellent anti vibration system and it does everything it is supposed to do. You can use an external shutter release.. (wired) why don't all of these long zoom cameras have a shutter release  The faults I mention are not the cameras fault... It's mine for having large hands.. So.. that's something you might want to take into consideration if you are a large person. In case you are wondering I had this camera 3 days and ordered another Lumix.. Now I gotta figure out who to give this Canon to. I hope this review helps someone make a good decision.",6,6,Canon SX50,2
